pbhh,pbll,pbhb,pblb,pshh,pshl,muh,mul,l
0.9896226697639177,0.9987334017145257,0.107770405738775,0.8910994977868842,0.9389515784536817,0.2522554043400622,0.7882354553123536,0.07548089591227254,0.2421276097690652
0.9896436662550333,0.9987363862644468,0.1077403547701661,0.8911321736864416,0.9385526959778777,0.2517043353300705,0.7885294279224061,0.0758849491726688,0.241858616287747
0.9896649582471782,0.9987394069544079,0.10771019131478,0.8911649943577385,0.9381531074343832,0.2511532742235935,0.7888237395367642,0.07628886075617816,0.2415917743160067
0.9896865407362679,0.9987424630938462,0.1076799173456807,0.8911979572182792,0.9377528148172729,0.2506022292056418,0.7891183864064034,0.07669262862330227,0.2413270643509769
0.9897084087785629,0.9987455540007097,0.1076495348153094,0.8912310597136748,0.9373518200831407,0.2500512082955282,0.789413364864869,0.07709625079190345,0.2410644671706151
0.9897305574900431,0.9987486790013801,0.1076190456556256,0.8912642993174348,0.936950125152308,0.2495002193509664,0.7897086713262969,0.07749972533538332,0.2408039638295231
0.9897529820457815,0.9987518374305943,0.1075884517782513,0.891297673530753,0.9365477319099947,0.2489492700720552,0.7900043022834868,0.07790305038092314,0.2405455356548135
0.9897756776793143,0.9987550286313654,0.1075577550746191,0.8913311798822887,0.9361446422074544,0.2483983680051579,0.790300254306027,0.07830622410777859,0.2402891642420249
0.9897986396820091,0.9987582519549031,0.1075269574161246,0.8913648159279451,0.9357408578630708,0.24784752054667,0.7905965240384705,0.078709244745636,0.2400348314510866
0.9898218634024328,0.9987615067605335,0.1074960606542829,0.8913985792506403,0.9353363806634253,0.2472967349466906,0.7908931081985547,0.07911211057301679,0.239782519402333
0.9898453442457187,0.9987647924156192,0.1074650666208862,0.8914324674600792,0.934931212364326,0.2467460183125876,0.7911900035754762,0.079514819915739,0.2395322104725689
0.9898690776729332,0.9987681082954774,0.1074339771281644,0.8914664781925209,0.9345253546918078,0.2461953776124714,0.7914872070282024,0.07991737114542671,0.2392838872911855
0.9898930592004446,0.9987714537832988,0.107402793968951,0.8915006091105414,0.9341188093430998,0.2456448196785691,0.7917847154838359,0.0803197626780691,0.2390375327363285
0.9899172843992905,0.9987748282700665,0.1073715189168466,0.8915348579027967,0.9337115779875631,0.2450943512105093,0.7920825259360172,0.0807219929726279,0.2387931299311168
