pool_n,pool_avg_price,lmix_n,lmix_avg_price,hmix_n,hmix_avg_price
2.9000000000000004,80,2.54,130.0,2.9000000000000004,110.0
2.92,80,2.56,130.0,2.92,110.0
2.94,80,2.58,130.0,2.94,110.0
2.96,80,2.6,130.0,2.96,110.0
2.98,80,2.62,130.0,2.98,110.0
3.0,80,2.64,130.0,3.0,110.0
3.02,80,2.66,130.0,3.02,110.0
3.04,80,2.6799999999999997,130.0,3.04,110.0
3.06,80,2.7,130.0,3.06,110.0
3.08,80,2.7199999999999998,130.0,3.08,110.0
3.1,80,2.74,130.0,3.1,110.0
3.12,80,2.76,130.0,3.12,110.0
3.14,80,2.7800000000000002,130.0,3.14,110.0
3.16,80,2.8,130.0,3.16,110.0
3.18,80,2.8200000000000003,130.0,3.18,110.0
3.2,80,2.84,130.0,3.2,110.0
