pool_n,pool_inf,lmix_n,lmix_inf,hmix_n,hmix_inf
1.6400000000000001,0.5,1.6400000000000001,0.6666666666666666,1.6400000000000001,0.7342821563162455
1.6600000000000001,0.5,1.6600000000000001,0.6666666666666666,1.6600000000000001,0.7492752473756491
1.6800000000000002,0.5,1.6800000000000002,0.6666666666666666,1.6800000000000002,0.7643403432198934
1.7000000000000002,0.5,1.7000000000000002,0.6666666666666666,1.7000000000000002,0.7794521152973175
1.72,0.5,1.72,0.6666666666666666,1.72,0.7945875026458917
1.74,0.5,1.74,0.6666666666666666,1.74,0.8097253513747248
1.76,0.5,1.76,0.6666666666666666,1.76,0.8248464688658714
1.78,0.5,1.78,0.6666666666666666,1.78,0.8399332041820783
1.8,0.5,1.8,0.6666666666666666,1.8,0.8549697001775105
1.82,0.5,1.82,0.6666666666666666,1.82,0.8699414392749032
1.8399999999999999,0.5,1.8399999999999999,0.6666666666666666,1.8399999999999999,0.875
1.8599999999999999,0.5,1.8399999999999999,0.6730372309684753,1.8599999999999999,0.875
1.88,0.5,1.82,0.6965139842295384,1.88,0.875
1.9,0.5,1.8,0.7203962008158364,1.9,0.875
1.92,0.5,1.78,0.7446787585033459,1.92,0.875
1.94,0.5,1.76,0.7693547687747262,1.94,0.875
1.96,0.5,1.74,0.7944154067971241,1.96,0.875
1.98,0.5,1.72,0.8198497295379639,1.98,0.875
2.0,0.5,1.7000000000000002,0.8456442846971399,2.0,0.875
2.02,0.5,1.6800000000000002,0.8717830152738661,2.02,0.875
2.04,0.5,1.6800000000000002,0.875,2.04,0.875
2.06,0.5,1.7000000000000002,0.875,2.06,0.875
2.08,0.5,1.72,0.875,2.08,0.875
2.1,0.5,1.74,0.875,2.1,0.875
2.12,0.5,1.76,0.875,2.12,0.875
2.14,0.5,1.78,0.875,2.14,0.875
2.16,0.5,1.8,0.875,2.16,0.875
2.1799999999999997,0.5,1.82,0.875,2.1799999999999997,0.875
2.2,0.5,1.8399999999999999,0.875,2.2,0.875
2.2199999999999998,0.5,1.8599999999999999,0.875,2.2199999999999998,0.875
2.24,0.5,1.88,0.875,2.24,0.875
2.26,0.5,1.9,0.875,2.26,0.875
2.2800000000000002,0.5,1.92,0.875,2.2800000000000002,0.875
2.3,0.5,1.94,0.875,2.3,0.875
2.3200000000000003,0.5,1.96,0.875,2.3200000000000003,0.875
2.34,0.5,1.98,0.875,2.34,0.875
2.3600000000000003,0.5,2.0,0.875,2.3600000000000003,0.875
2.38,0.5,2.02,0.875,2.38,0.875
2.4000000000000004,0.5,2.04,0.875,2.4000000000000004,0.875
2.42,0.5,2.06,0.875,2.42,0.875
2.44,0.5,2.08,0.875,2.44,0.875
2.46,0.5,2.1,0.875,2.46,0.875
2.48,0.5,2.12,0.875,2.48,0.875
2.5,0.5,2.14,0.875,2.5,0.875
2.52,0.5,2.16,0.875,2.52,0.875
2.54,0.5,2.1799999999999997,0.875,2.54,0.875
2.56,0.5,2.2,0.875,2.56,0.875
2.58,0.5,2.2199999999999998,0.875,2.58,0.875
2.6,0.5,2.24,0.875,2.6,0.875
2.62,0.5,2.26,0.875,2.62,0.875
2.64,0.5,2.2800000000000002,0.875,2.64,0.875
2.66,0.5,2.3,0.875,2.66,0.875
2.6799999999999997,0.5,2.3200000000000003,0.875,2.6799999999999997,0.875
2.7,0.5,2.34,0.875,2.7,0.875
2.7199999999999998,0.5,2.3600000000000003,0.875,2.7199999999999998,0.875
2.74,0.5,2.38,0.875,2.74,0.875
2.76,0.5,2.4000000000000004,0.875,2.76,0.875
2.7800000000000002,0.5,2.42,0.875,2.7800000000000002,0.875
2.8,0.5,2.44,0.875,2.8,0.875
2.8200000000000003,0.5,2.46,0.875,2.8200000000000003,0.875
2.84,0.5,2.48,0.875,2.84,0.875
2.8600000000000003,0.5,2.5,0.875,2.8600000000000003,0.875
2.88,0.5,2.52,0.875,2.88,0.875
2.9000000000000004,0.5,2.54,0.875,2.9000000000000004,0.875
2.92,0.5,2.56,0.875,2.92,0.875
2.94,0.5,2.58,0.875,2.94,0.875
2.96,0.5,2.6,0.875,2.96,0.875
2.98,0.5,2.62,0.875,2.98,0.875
